timestamp,agent,task,step,input_tokens,output_tokens,cost_usd
2026-02-28 23:45:40,no_memory,integration_test,0,355,52,0.000000
2026-02-28 23:45:42,no_memory,integration_test,1,355,60,0.000000
2026-02-28 23:45:43,no_memory,integration_test,2,360,52,0.000000
2026-02-28 23:45:44,no_memory,integration_test,3,355,55,0.000000
2026-02-28 23:45:45,no_memory,integration_test,4,355,52,0.000000
2026-02-28 23:45:46,naive_memory,integration_test,0,368,48,0.000000
2026-02-28 23:45:47,naive_memory,integration_test,1,477,51,0.000000
2026-02-28 23:45:48,naive_memory,integration_test,2,600,48,0.000000
2026-02-28 23:45:49,naive_memory,integration_test,3,708,43,0.000000
2026-02-28 23:45:50,naive_memory,integration_test,4,821,37,0.000000
2026-02-28 23:45:51,memagent,integration_test,0,364,76,0.000000
2026-02-28 23:45:53,memagent,integration_test,1,369,107,0.000000
2026-02-28 23:45:55,memagent,integration_test,2,364,75,0.000000
2026-02-28 23:45:56,memagent,integration_test,3,370,100,0.000000
2026-02-28 23:45:58,memagent,integration_test,4,369,70,0.000000
2026-02-28 23:45:59,memagent,integration_test,4,409,47,0.000000
2026-02-28 23:46:00,memagent,integration_test,4,331,41,0.000000
2026-02-28 23:46:00,memagent,integration_test,4,327,40,0.000000
2026-02-28 23:46:30,memagent,harvest_wool_with_shears_and_sheep,0,364,76,0.000000
2026-02-28 23:46:31,memagent,harvest_wool_with_shears_and_sheep,1,364,80,0.000000
2026-02-28 23:46:33,memagent,harvest_wool_with_shears_and_sheep,2,369,69,0.000000
2026-02-28 23:46:34,memagent,harvest_wool_with_shears_and_sheep,3,364,76,0.000000
2026-02-28 23:46:35,memagent,harvest_wool_with_shears_and_sheep,4,369,76,0.000000
2026-02-28 23:46:37,memagent,harvest_wool_with_shears_and_sheep,5,370,94,0.000000
2026-02-28 23:46:39,memagent,harvest_wool_with_shears_and_sheep,6,417,82,0.000000
2026-02-28 23:46:41,memagent,harvest_wool_with_shears_and_sheep,7,473,94,0.000000
2026-02-28 23:46:42,memagent,harvest_wool_with_shears_and_sheep,8,471,92,0.000000
2026-02-28 23:46:44,memagent,harvest_wool_with_shears_and_sheep,9,370,112,0.000000
2026-02-28 23:46:45,memagent,harvest_wool_with_shears_and_sheep,9,660,59,0.000000
2026-02-28 23:46:46,memagent,harvest_wool_with_shears_and_sheep,9,356,28,0.000000
2026-02-28 23:46:47,memagent,harvest_wool_with_shears_and_sheep,9,366,43,0.000000
2026-02-28 23:46:48,memagent,harvest_wool_with_shears_and_sheep,10,375,85,0.000000
2026-02-28 23:46:50,memagent,harvest_wool_with_shears_and_sheep,11,375,85,0.000000
2026-02-28 23:46:52,memagent,harvest_wool_with_shears_and_sheep,12,375,87,0.000000
2026-02-28 23:46:53,memagent,harvest_wool_with_shears_and_sheep,13,375,84,0.000000
2026-02-28 23:46:55,memagent,harvest_wool_with_shears_and_sheep,14,538,80,0.000000
2026-02-28 23:46:56,memagent,harvest_wool_with_shears_and_sheep,15,375,79,0.000000
2026-02-28 23:46:57,memagent,harvest_wool_with_shears_and_sheep,16,375,85,0.000000
2026-02-28 23:46:59,memagent,harvest_wool_with_shears_and_sheep,17,375,84,0.000000
2026-02-28 23:47:00,memagent,harvest_wool_with_shears_and_sheep,18,375,78,0.000000
2026-02-28 23:47:01,memagent,harvest_wool_with_shears_and_sheep,19,375,87,0.000000
2026-02-28 23:47:03,memagent,harvest_wool_with_shears_and_sheep,19,615,61,0.000000
2026-02-28 23:47:04,memagent,harvest_wool_with_shears_and_sheep,19,289,22,0.000000
2026-02-28 23:47:05,memagent,harvest_wool_with_shears_and_sheep,19,294,33,0.000000
2026-02-28 23:47:06,memagent,harvest_wool_with_shears_and_sheep,20,375,83,0.000000
2026-02-28 23:47:08,memagent,harvest_wool_with_shears_and_sheep,21,633,77,0.000000
2026-02-28 23:47:09,memagent,harvest_wool_with_shears_and_sheep,22,375,79,0.000000
2026-02-28 23:47:10,memagent,harvest_wool_with_shears_and_sheep,23,375,83,0.000000
2026-02-28 23:47:12,memagent,harvest_wool_with_shears_and_sheep,24,375,78,0.000000
2026-02-28 23:47:13,memagent,harvest_wool_with_shears_and_sheep,25,473,92,0.000000
2026-02-28 23:47:15,memagent,harvest_wool_with_shears_and_sheep,26,375,79,0.000000
2026-02-28 23:47:17,memagent,harvest_wool_with_shears_and_sheep,27,616,78,0.000000
2026-02-28 23:47:18,memagent,harvest_wool_with_shears_and_sheep,28,433,117,0.000000
2026-02-28 23:47:20,memagent,harvest_wool_with_shears_and_sheep,29,423,83,0.000000
2026-02-28 23:47:21,memagent,harvest_wool_with_shears_and_sheep,29,699,68,0.000000
2026-02-28 23:47:22,memagent,harvest_wool_with_shears_and_sheep,29,362,39,0.000000
2026-02-28 23:47:23,memagent,harvest_wool_with_shears_and_sheep,29,359,45,0.000000
2026-02-28 23:47:24,memagent,harvest_wool_with_shears_and_sheep,29,752,55,0.000000
2026-02-28 23:47:25,memagent,harvest_wool_with_shears_and_sheep,29,350,37,0.000000
2026-02-28 23:47:26,memagent,harvest_wool_with_shears_and_sheep,29,358,49,0.000000
2026-02-28 23:47:27,memagent,harvest_wool_with_shears_and_sheep,0,375,85,0.000000
2026-02-28 23:47:29,memagent,harvest_wool_with_shears_and_sheep,1,375,86,0.000000
2026-02-28 23:47:31,memagent,harvest_wool_with_shears_and_sheep,2,375,79,0.000000
2026-02-28 23:47:32,memagent,harvest_wool_with_shears_and_sheep,3,375,79,0.000000
2026-02-28 23:47:33,memagent,harvest_wool_with_shears_and_sheep,4,467,76,0.000000
2026-02-28 23:47:35,memagent,harvest_wool_with_shears_and_sheep,5,375,78,0.000000
2026-02-28 23:47:36,memagent,harvest_wool_with_shears_and_sheep,6,375,83,0.000000
2026-02-28 23:47:38,memagent,harvest_wool_with_shears_and_sheep,7,380,75,0.000000
2026-02-28 23:47:39,memagent,harvest_wool_with_shears_and_sheep,8,375,85,0.000000
2026-02-28 23:47:41,memagent,harvest_wool_with_shears_and_sheep,9,375,78,0.000000
2026-02-28 23:47:42,memagent,harvest_wool_with_shears_and_sheep,9,735,55,0.000000
2026-02-28 23:47:43,memagent,harvest_wool_with_shears_and_sheep,9,305,33,0.000000
2026-02-28 23:47:44,memagent,harvest_wool_with_shears_and_sheep,9,307,33,0.000000
2026-02-28 23:47:45,memagent,harvest_wool_with_shears_and_sheep,10,375,87,0.000000
2026-02-28 23:47:47,memagent,harvest_wool_with_shears_and_sheep,11,375,79,0.000000
2026-02-28 23:47:48,memagent,harvest_wool_with_shears_and_sheep,12,375,80,0.000000
2026-02-28 23:47:49,memagent,harvest_wool_with_shears_and_sheep,13,471,78,0.000000
2026-02-28 23:47:51,memagent,harvest_wool_with_shears_and_sheep,14,375,78,0.000000
2026-02-28 23:47:52,memagent,harvest_wool_with_shears_and_sheep,15,375,85,0.000000
2026-02-28 23:47:54,memagent,harvest_wool_with_shears_and_sheep,16,375,78,0.000000
2026-02-28 23:47:55,memagent,harvest_wool_with_shears_and_sheep,17,380,73,0.000000
2026-02-28 23:47:57,memagent,harvest_wool_with_shears_and_sheep,18,375,79,0.000000
2026-02-28 23:47:58,memagent,harvest_wool_with_shears_and_sheep,19,375,71,0.000000
2026-02-28 23:47:59,memagent,harvest_wool_with_shears_and_sheep,19,761,60,0.000000
2026-02-28 23:48:00,memagent,harvest_wool_with_shears_and_sheep,19,303,32,0.000000
2026-02-28 23:48:01,memagent,harvest_wool_with_shears_and_sheep,19,306,44,0.000000
2026-02-28 23:48:02,memagent,harvest_wool_with_shears_and_sheep,20,381,89,0.000000
2026-02-28 23:48:03,memagent,harvest_wool_with_shears_and_sheep,21,375,78,0.000000
2026-02-28 23:48:05,memagent,harvest_wool_with_shears_and_sheep,22,567,79,0.000000
2026-02-28 23:48:07,memagent,harvest_wool_with_shears_and_sheep,23,470,76,0.000000
2026-02-28 23:48:08,memagent,harvest_wool_with_shears_and_sheep,24,470,76,0.000000
2026-02-28 23:48:09,memagent,harvest_wool_with_shears_and_sheep,25,375,85,0.000000
2026-02-28 23:48:11,memagent,harvest_wool_with_shears_and_sheep,26,375,78,0.000000
2026-02-28 23:48:12,memagent,harvest_wool_with_shears_and_sheep,27,602,74,0.000000
2026-02-28 23:48:13,memagent,harvest_wool_with_shears_and_sheep,28,375,87,0.000000
2026-02-28 23:48:15,memagent,harvest_wool_with_shears_and_sheep,29,375,83,0.000000
2026-02-28 23:48:16,memagent,harvest_wool_with_shears_and_sheep,29,802,62,0.000000
2026-02-28 23:48:17,memagent,harvest_wool_with_shears_and_sheep,29,309,40,0.000000
2026-02-28 23:48:19,memagent,harvest_wool_with_shears_and_sheep,29,314,65,0.000000
2026-02-28 23:48:20,memagent,harvest_wool_with_shears_and_sheep,29,828,62,0.000000
2026-02-28 23:48:21,memagent,harvest_wool_with_shears_and_sheep,29,309,40,0.000000
2026-02-28 23:48:22,memagent,harvest_wool_with_shears_and_sheep,29,314,65,0.000000
